Flag Tsunami,Year,Month,Day,Coordinates,Latitude,Longitude,EQ Primary,Country,State,Location name,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Coordinates
,1977,03,04,"45.777, 26.703",45.777,26.703,7.5,ROMANIA,,ROMANIA:  BUCHAREST,1641,Very Many (~1001 or more deaths),,,10500,Very Many (~1001 or more deaths),2000,EXTREME (~$25 million or more),,,,,1641,Very Many (~1001 or more deaths),,,10500,Very Many (~1001 or more deaths),2000.000,EXTREME (~$25 million or more),,,,,"45.777, 26.703"
,1977,03,18,"16.77, 122.33",16.77,122.33,7.3,PHILIPPINES,,PHILIPPINES:  LUZON:  MANILA,1,Few (~1 to 50 deaths),,,9,Few (~1 to 50 deaths),0.1,LIMITED (roughly corresponding to less than $1 million),14,Few (~1 to 50 houses),22,Few (~1 to 50 houses),1,Few (~1 to 50 deaths),,,9,Few (~1 to 50 deaths),.100,LIMITED (roughly corresponding to less than $1 million),14,Few (~1 to 50 houses),22,Few (~1 to 50 houses),"16.77, 122.33"
Tsunami,1977,04,02,"-16.696, -172.095",-16.696,-172.095,7.6,SAMOA,,SAMOA ISLANDS:  APIA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-16.696, -172.095"
Tsunami,1977,04,20,"-9.89, 160.348",-9.89,160.348,7.6,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-9.89, 160.348"
,1977,04,20,"-9.844, 160.822",-9.844,160.822,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,"-9.844, 160.822"
Tsunami,1977,04,21,"-9.965, 160.731",-9.965,160.731,8.1,SOLOMON ISLANDS,,SOLOMON ISLANDS,18,Few (~1 to 50 deaths),,,1,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,,,18,Few (~1 to 50 deaths),,,1,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,,,"-9.965, 160.731"
Tsunami,1977,06,22,"-22.878, -175.9",-22.878,-175.9,7.2,TONGA,,TONGA TRENCH,1,Few (~1 to 50 deaths),,,5,Few (~1 to 50 deaths),1.2,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-22.878, -175.9"
Tsunami,1977,08,19,"-11.085, 118.464",-11.085,118.464,8,INDONESIA,,INDONESIA:  SUNDA ISLANDS,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,189,Many (~101 to 1000 deaths),,,75,Some (~51 to 100 deaths),1.200,MODERATE (~$1 to $5 million),,,,,"-11.085, 118.464"
Tsunami,1977,10,10,"-25.856, -175.406",-25.856,-175.406,7.2,TONGA,,TONGA TRENCH,,,,,,,,,,,,,,,,,,,,,,,,,"-25.856, -175.406"
,1977,11,23,"-31.03, -67.77",-31.03,-67.77,7.4,ARGENTINA,,ARGENTINA:  SAN JUAN PROVINCE:  MENDOZA,70,Some (~51 to 100 deaths),,,300,Many (~101 to 1000 deaths),80,EXTREME (~$25 million or more),,,,,70,Some (~51 to 100 deaths),,,300,Many (~101 to 1000 deaths),80.000,EXTREME (~$25 million or more),,,,,"-31.03, -67.77"
,1978,02,09,"-30.68, -177.36",-30.68,-177.36,7.7,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS:  S OF,,,,,,,,,,,,,,,,,,,,,,,,,"-30.68, -177.36"
Tsunami,1978,03,23,"44.932, 148.439",44.932,148.439,7.5,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"44.932, 148.439"
,1978,03,24,"42.839, 78.606",42.839,78.606,7.1,KAZAKHSTAN,,KAZAKHSTAN:  ALMA-ATA,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"42.839, 78.606"
Tsunami,1978,03,24,"44.244, 148.862",44.244,148.862,7.6,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"44.244, 148.862"
Tsunami,1978,06,12,"38.19, 142.028",38.19,142.028,7.7,JAPAN,,JAPAN:  SANRIKU,28,Few (~1 to 50 deaths),,,10000,Very Many (~1001 or more deaths),865,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,28,Few (~1 to 50 deaths),,,10000,Very Many (~1001 or more deaths),865.000,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,"38.19, 142.028"
Tsunami,1978,07,23,"22.282, 121.512",22.282,121.512,7.4,TAIWAN,,TAIWAN,,,,,,,,,,,,,,,,,,,,,,,,,"22.282, 121.512"
,1978,08,03,"-26.51, -70.54",-26.51,-70.54,7,CHILE,,CHILE:  NORTHERN:  COPIAPO-TALTAI,,,,,13,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"-26.51, -70.54"
,1978,09,16,"33.386, 57.434",33.386,57.434,7.8,IRAN,,IRAN:  TABAS,20000,Very Many (~1001 or more deaths),,,,,50,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,20000,Very Many (~1001 or more deaths),,,,,50.000,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,"33.386, 57.434"
Tsunami,1978,11,29,"16.01, -96.591",16.01,-96.591,7.7,MEXICO,,MEXICO:  OAXACA,9,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,9,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,"16.01, -96.591"
,1978,12,06,"44.592, 146.581",44.592,146.581,7.5,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"44.592, 146.581"
,1978,12,23,"23.247, 122.075",23.247,122.075,7,TAIWAN,,TAIWAN:  PINTUNG,2,Few (~1 to 50 deaths),,,3,Few (~1 to 50 deaths),,,,,,,2,Few (~1 to 50 deaths),,,3,Few (~1 to 50 deaths),,,,,,,"23.247, 122.075"
Tsunami,1979,02,28,"60.691, -141.671",60.691,-141.671,7.5,USA,AK,ALASKA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"60.691, -141.671"
Tsunami,1979,03,14,"17.813, -101.276",17.813,-101.276,7.6,MEXICO,,MEXICO:  GUERRERO,5,Few (~1 to 50 deaths),,,35,Few (~1 to 50 deaths),30,EXTREME (~$25 million or more),200,Many (~101 to 1000 houses),,,5,Few (~1 to 50 deaths),,,35,Few (~1 to 50 deaths),30.000,EXTREME (~$25 million or more),200,Many (~101 to 1000 houses),,,"17.813, -101.276"
Tsunami,1979,09,12,"-1.679, 136.04",-1.679,136.04,7.9,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,15,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),1000,Many (~101 to 1000 houses),,,115,Many (~101 to 1000 deaths),,,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),1000,Many (~101 to 1000 houses),,,"-1.679, 136.04"
,1979,10,12,"-46.675, 165.707",-46.675,165.707,7.5,NEW ZEALAND,,NEW ZEALAND:  W OF NORTH ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,"-46.675, 165.707"
,1979,11,27,"33.962, 59.726",33.962,59.726,7.5,IRAN,,IRAN,17,Few (~1 to 50 deaths),,,24,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,,,17,Few (~1 to 50 deaths),,,24,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,,,"33.962, 59.726"
Tsunami,1979,12,12,"1.598, -79.358",1.598,-79.358,7.7,COLOMBIA,,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",600,Many (~101 to 1000 deaths),,,20000,Very Many (~1001 or more deaths),8,SEVERE (~>$5 to $24 million),10000,Very Many (~1001 or more houses),,,600,Many (~101 to 1000 deaths),,,20000,Very Many (~1001 or more deaths),8.000,SEVERE (~>$5 to $24 million),10000,Very Many (~1001 or more houses),,,"1.598, -79.358"
Tsunami,1980,02,23,"43.53, 146.753",43.53,146.753,7,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"43.53, 146.753"
,1980,07,08,"-12.41, 166.381",-12.41,166.381,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS:  BANKS,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-12.41, 166.381"
Tsunami,1980,07,17,"-12.525, 165.916",-12.525,165.916,7.9,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,,,,,,,,,,,,,,,,,,,,,,,,,"-12.525, 165.916"
Tsunami,1980,10,10,"36.195, 1.354",36.195,1.354,7.7,ALGERIA,,ALGERIA:  NORTHERN,5000,Very Many (~1001 or more deaths),,,9000,Very Many (~1001 or more deaths),5200,EXTREME (~$25 million or more),25000,Very Many (~1001 or more houses),,,5000,Very Many (~1001 or more deaths),,,9000,Very Many (~1001 or more deaths),5200.000,EXTREME (~$25 million or more),250000,Very Many (~1001 or more houses),,,"36.195, 1.354"
,1980,11,08,"41.117, -124.253",41.117,-124.253,7.2,USA,CA,CALIFORNIA:  NORTH COAST,5,Few (~1 to 50 deaths),,,,,2.75,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"41.117, -124.253"
Tsunami,1981,05,25,"-48.786, 164.357",-48.786,164.357,7.6,NEW ZEALAND,,NEW ZEALAND:  W OF NORTH ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,"-48.786, 164.357"
,1981,07,28,"30.013, 57.794",30.013,57.794,7.1,IRAN,,"IRAN:  SE, KERMAN",3000,Very Many (~1001 or more deaths),,,1000,Very Many (~1001 or more deaths),1000,EXTREME (~$25 million or more),,,,,3000,Very Many (~1001 or more deaths),,,1000,Very Many (~1001 or more deaths),1000.000,EXTREME (~$25 million or more),,,,,"30.013, 57.794"
Tsunami,1981,09,01,"-14.96, -173.085",-14.96,-173.085,7.7,SAMOA,,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO,,,,,,,,,,,,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,"-14.96, -173.085"
,1981,10,16,"-33.134, -73.074",-33.134,-73.074,7.5,CHILE,,"CHILE:  OFF CENTRAL COAST, LAS CRUCES",1,Few (~1 to 50 deaths),,,,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,,,"-33.134, -73.074"
Tsunami,1981,10,25,"18.048, -102.084",18.048,-102.084,7.3,MEXICO,,MEXICO:  MICHOACAN: LAZARO CARDENAS,9,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"18.048, -102.084"
,1981,12,19,"39.243, 25.227",39.243,25.227,7.5,GREECE,,"GREECE:  AEGEAN SEA:  LESBOS, SKIROS",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"39.243, 25.227"
Tsunami,1982,01,11,"13.752, 124.358",13.752,124.358,7.1,PHILIPPINES,,"PHILIPPINES:  VIRAC, CATANDUANES",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"13.752, 124.358"
,1982,06,07,"16.558, -98.358",16.558,-98.358,7,MEXICO,,"MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE",9,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,9,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,,,,"16.558, -98.358"
,1982,08,05,"-12.597, 165.931",-12.597,165.931,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-12.597, 165.931"
Tsunami,1982,12,19,"-24.133, -175.864",-24.133,-175.864,7.7,TONGA,,TONGA TRENCH,,,,,,,,,,,,,,,,,,,,,,,,,"-24.133, -175.864"
Tsunami,1983,01,17,"38.026, 20.228",38.026,20.228,7.2,GREECE,,GREECE: IONIAN SEA,,,,,,,,,,,,,,,,,,,,,,,,,"38.026, 20.228"
Tsunami,1983,03,18,"-4.883, 153.581",-4.883,153.581,7.6,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"-4.883, 153.581"
,1983,04,03,"8.717, -83.123",8.717,-83.123,7.3,COSTA RICA,,"COSTA RICA:  SE, PANAMA: W",6,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),1,MODERATE (~$1 to $5 million),,,,,6,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),1.000,MODERATE (~$1 to $5 million),,,,,"8.717, -83.123"
Tsunami,1983,05,26,"40.462, 139.102",40.462,139.102,7.7,JAPAN,,JAPAN:  HONSHU:  AKITA,4,Few (~1 to 50 deaths),,,324,Many (~101 to 1000 deaths),800,EXTREME (~$25 million or more),,,,,104,Many (~101 to 1000 deaths),,,324,Many (~101 to 1000 deaths),800.000,EXTREME (~$25 million or more),,,,,"40.462, 139.102"
Tsunami,1983,08,06,"40.142, 24.766",40.142,24.766,7,GREECE,,GREECE:  AEGEAN SEA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"40.142, 24.766"
Tsunami,1983,10,04,"-26.535, -70.563",-26.535,-70.563,7.3,CHILE,,CHILE:  NORTHERN:  COPOAPO-CHANARAL,5,Few (~1 to 50 deaths),,,12,Few (~1 to 50 deaths),1,MODERATE (~$1 to $5 million),40,Few (~1 to 50 houses),,,5,Few (~1 to 50 deaths),,,12,Few (~1 to 50 deaths),1.000,MODERATE (~$1 to $5 million),40,Few (~1 to 50 houses),,,"-26.535, -70.563"
,1983,10,28,"43.974, -113.916",43.974,-113.916,7.3,USA,ID,"IDAHO:  BORAH PEAK, CHALLIS, MACKAY",2,Few (~1 to 50 deaths),,,2,Few (~1 to 50 deaths),12.5,SEVERE (~>$5 to $24 million),,,,,2,Few (~1 to 50 deaths),,,2,Few (~1 to 50 deaths),12.500,SEVERE (~>$5 to $24 million),,,,,"43.974, -113.916"
Tsunami,1983,11,30,"-6.852, 72.11",-6.852,72.11,7.6,UK TERRITORY,,INDIAN OCEAN:  CHAGOS ARCHIPELAGO:  DIEGO GARCIA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-6.852, 72.11"
,1983,12,30,"36.372, 70.738",36.372,70.738,7.2,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",26,Few (~1 to 50 deaths),,,483,Many (~101 to 1000 deaths),3,MODERATE (~$1 to $5 million),,,,,26,Few (~1 to 50 deaths),,,483,Many (~101 to 1000 deaths),3.000,MODERATE (~$1 to $5 million),,,,,"36.372, 70.738"
,1984,02,07,"-10.012, 160.469",-10.012,160.469,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS:  GUADALCANAL,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"-10.012, 160.469"
,1984,03,19,"40.32, 63.35",40.32,63.35,7,UZBEKISTAN,,UZBEKISTAN:  GAZLI,,,,,100,Some (~51 to 100 deaths),5,MODERATE (~$1 to $5 million),,,,,,,,,100,Some (~51 to 100 deaths),5.000,MODERATE (~$1 to $5 million),,,,,"40.32, 63.35"
Tsunami,1984,03,24,"44.117, 148.192",44.117,148.192,7,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"44.117, 148.192"
Tsunami,1984,12,28,"56.2, 163.4",56.2,163.4,7,RUSSIA,,RUSSIA:  KAMCHATKA,,,,,,,,,,,,,,,,,,,,,,,,,"56.2, 163.4"
Tsunami,1985,03,03,"-33.132, -71.708",-33.132,-71.708,8,CHILE,,"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO",180,Many (~101 to 1000 deaths),,,2575,Very Many (~1001 or more deaths),1500,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,180,Many (~101 to 1000 deaths),,,2575,Very Many (~1001 or more deaths),1500.000,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,"-33.132, -71.708"
,1985,04,09,"-34.131, -71.618",-34.131,-71.618,7.5,CHILE,,"CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO",2,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,,,,2,Few (~1 to 50 deaths),,,,Some (~51 to 100 deaths),,,,,,,"-34.131, -71.618"
,1985,05,10,"-5.599, 151.045",-5.599,151.045,7.1,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA",1,Few (~1 to 50 deaths),,,,,1,MODERATE (~$1 to $5 million),,,,,1,Few (~1 to 50 deaths),,,,,1.000,MODERATE (~$1 to $5 million),,,,,"-5.599, 151.045"
Tsunami,1985,07,03,"-4.439, 152.828",-4.439,152.828,7.2,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL,,,,,,,1,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),,,,,,,,,1.000,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),,,"-4.439, 152.828"
,1985,08,23,"39.431, 75.224",39.431,75.224,7.5,CHINA,,CHINA:  S XINJIANG:  WUQUA-SHUFU,71,Some (~51 to 100 deaths),,,162,Many (~101 to 1000 deaths),5,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,71,Some (~51 to 100 deaths),,,162,Many (~101 to 1000 deaths),5.000,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,"39.431, 75.224"
Tsunami,1985,09,19,"18.19, -102.533",18.19,-102.533,8.1,MEXICO,,MEXICO:  MICHOACAN:  MEXICO CITY,9500,Very Many (~1001 or more deaths),,,30000,Very Many (~1001 or more deaths),4000,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,9500,Very Many (~1001 or more deaths),,,30000,Very Many (~1001 or more deaths),4000.000,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,"18.19, -102.533"
Tsunami,1985,09,21,"17.802, -101.647",17.802,-101.647,7.6,MEXICO,,MEXICO:  SW COAST:  MEXICO CITY,,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,"17.802, -101.647"
,1985,11,17,"-1.639, 134.911",-1.639,134.911,7.1,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-1.639, 134.911"
,1985,11,28,"-13.987, 166.185",-13.987,166.185,7.6,VANUATU,,VANUATU ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-13.987, 166.185"
,1985,12,21,"-13.966, 166.516",-13.966,166.516,7.6,VANUATU,,VANUATU ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-13.966, 166.516"
Tsunami,1986,05,07,"51.52, -174.776",51.52,-174.776,8,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  ADAK,,,,,,,,MODERATE (~$1 to $5 million),,,,Some (~51 to 100 houses),,,,,,,,MODERATE (~$1 to $5 million),,,,Some (~51 to 100 houses),"51.52, -174.776"
,1986,06,24,"-4.448, 143.943",-4.448,143.943,7.1,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,,,,,,,0.5,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,.500,LIMITED (roughly corresponding to less than $1 million),,,,,"-4.448, 143.943"
Tsunami,1986,10,20,"-28.117, -176.367",-28.117,-176.367,8.1,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS:  RAOUL,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-28.117, -176.367"
Tsunami,1986,11,14,"23.901, 121.574",23.901,121.574,7.8,TAIWAN,,"TAIWAN:  TAIPEI, HUALIEN",15,Few (~1 to 50 deaths),,,44,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,15,Few (~1 to 50 deaths),,,44,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,"23.901, 121.574"
Tsunami,1987,02,08,"-6.088, 147.689",-6.088,147.689,7.6,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  HUON PENINSULA, UMBOI ISLAND",3,Few (~1 to 50 deaths),,,,,2.625,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,3,Few (~1 to 50 deaths),,,,,2.625,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,"-6.088, 147.689"
Tsunami,1987,03,05,"-24.388, -70.161",-24.388,-70.161,7.3,CHILE,,"CHILE:  ANTOFAGASTA, ARICA",1,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,1,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,"-24.388, -70.161"
,1987,03,06,"0.083, -77.785",0.083,-77.785,7.2,ECUADOR,,"ECUADOR:  NAPO PROVINCE, QUITO, TULCAN",5000,Very Many (~1001 or more deaths),,,,,1500,EXTREME (~$25 million or more),,,,,5000,Very Many (~1001 or more deaths),,,,,1500.000,EXTREME (~$25 million or more),,,,,"0.083, -77.785"
,1987,09,03,"-58.893, 158.513",-58.893,158.513,7.7,AUSTRALIA,TAS,AUSTRALIA:  MACQUARIE ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,"-58.893, 158.513"
Tsunami,1987,10,06,"-17.94, -172.225",-17.94,-172.225,7.3,TONGA,,TONGA ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-17.94, -172.225"
Tsunami,1987,10,16,"-6.266, 149.06",-6.266,149.06,7.7,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW BRITAIN:  KANDRIAN, KIMBTE",,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"-6.266, 149.06"
Tsunami,1987,11,17,"58.586, -143.27",58.586,-143.27,7.2,USA,AK,ALASKA:  GULF OF ALASKA,,,,,,,,,,,,,,,,,,,,,,,,,"58.586, -143.27"
Tsunami,1987,11,30,"58.679, -142.786",58.679,-142.786,7.9,USA,AK,ALASKA:  YAKUTAT,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"58.679, -142.786"
Tsunami,1988,03,06,"57.262, -142.747",57.262,-142.747,7.8,USA,AK,ALASKA:  GULF OF ALASKA:  ANCHORAGE,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"57.262, -142.747"
Tsunami,1988,08,06,"25.149, 95.127",25.149,95.127,7.2,MYANMAR (BURMA),,"MYANMAR (BURMA);  INDIA:  GAUHATI, SIBSAGAR, IMPHAL",38,Few (~1 to 50 deaths),,,,,1,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"25.149, 95.127"
Tsunami,1988,08,10,"-10.258, 160.896",-10.258,160.896,7.6,SOLOMON ISLANDS,,"SOLOMON ISLANDS:  SAN CRISTOBAL, GUADALCANAL",,,,,,,,,,,,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),100,Some (~51 to 100 houses),,,"-10.258, 160.896"
,1988,11,06,"22.789, 99.611",22.789,99.611,7.3,CHINA,,CHINA:  YUNNAN PROVINCE,738,Many (~101 to 1000 deaths),,,3900,Very Many (~1001 or more deaths),269,EXTREME (~$25 million or more),412000,Very Many (~1001 or more houses),,,738,Many (~101 to 1000 deaths),,,3900,Very Many (~1001 or more deaths),269.000,EXTREME (~$25 million or more),412000,Very Many (~1001 or more houses),,,"22.789, 99.611"
Tsunami,1989,05,23,"-52.341, 160.568",-52.341,160.568,8.2,AUSTRALIA,TAS,MACQUARIE ISLAND:  MACQUARIE STATION; NEW ZEALAND,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-52.341, 160.568"
Tsunami,1989,11,01,"39.837, 142.76",39.837,142.76,7.4,JAPAN,,"JAPAN:  HONSHU: N, AOMORI, MISAWA",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"39.837, 142.76"
,1989,12,15,"8.337, 126.729",8.337,126.729,7.5,PHILIPPINES,,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",2,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),1,MODERATE (~$1 to $5 million),,,,,2,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),1.000,MODERATE (~$1 to $5 million),,,,,"8.337, 126.729"
,1990,03,03,"-22.122, 175.163",-22.122,175.163,7.6,FIJI,,FIJI ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-22.122, 175.163"
Tsunami,1990,03,25,"9.919, -84.808",9.919,-84.808,7,COSTA RICA,,"COSTA RICA:  PUNTARENAS, SAN JOSE",,,,,15,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),8,Few (~1 to 50 houses),34,Few (~1 to 50 houses),,,,,15,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),8,Few (~1 to 50 houses),34,Few (~1 to 50 houses),"9.919, -84.808"
Tsunami,1990,04,05,"15.125, 147.596",15.125,147.596,7.5,USA TERRITORY,MP,NORTHERN MARIANA ISLANDS:  SAIPAN; GUAM,,,,,,,,,,,,,,,,,,,,,,,,,"15.125, 147.596"
,1990,04,18,"1.186, 122.857",1.186,122.857,7.6,INDONESIA,,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,3,Few (~1 to 50 deaths),,,25,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,1140,Very Many (~1001 or more houses),3,Few (~1 to 50 deaths),,,25,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,,1140,Very Many (~1001 or more houses),"1.186, 122.857"
