Flag Tsunami,Year,Month,Day,Coordinates,Latitude,Longitude,EQ Primary,Country,State,Location name,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Coordinates
,1957,04,16,"-4.6, 107.1",-4.6,107.1,7.5,INDONESIA,,INDONESIA:  JAVA SEA,,,,,,,,,,,,,,,,,,,,,,,,,"-4.6, 107.1"
,1957,04,25,"36.4, 28.55",36.4,28.55,7.1,TURKEY,,"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)",18,Few (~1 to 50 deaths),,,92,Few (~1 to 50 deaths),,EXTREME (~$25 million or more),3000,Very Many (~1001 or more houses),5000,Very Many (~1001 or more houses),18,Few (~1 to 50 deaths),,,92,Few (~1 to 50 deaths),,EXTREME (~$25 million or more),3000,Very Many (~1001 or more houses),5000,Very Many (~1001 or more houses),"36.4, 28.55"
,1957,05,26,"40.7, 30.9",40.7,30.9,7.1,TURKEY,,TURKEY:  ABANT,500,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"40.7, 30.9"
Tsunami,1957,06,22,"-1.5, 137.0",-1.5,137,7.3,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,SEVERE (~>$5 to $24 million),,,,,"-1.5, 137.0"
,1957,06,27,"56.2, 116.4",56.2,116.4,7.6,RUSSIA,,RUSSIA:  CHITA,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,"56.2, 116.4"
Tsunami,1957,07,28,"16.5, -99.1",16.5,-99.1,7.9,MEXICO,,"MEXICO:  ACAPULCO,MEXICO CITY",65,Some (~51 to 100 deaths),,,,Many (~101 to 1000 deaths),25,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,,65,Some (~51 to 100 deaths),,,,Many (~101 to 1000 deaths),25.000,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,,"16.5, -99.1"
Tsunami,1957,07,29,"-23.5, -71.5",-23.5,-71.5,7,CHILE,,CHILE:  ANTOFAGASTA,,,,,,,,,,,,,,,,,,,,,,,,,"-23.5, -71.5"
,1957,09,24,"5.5, 127.5",5.5,127.5,7.6,PHILIPPINES,,PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,"5.5, 127.5"
,1957,09,28,"-20.4, -178.5",-20.4,-178.5,7.5,FIJI,,FIJI ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-20.4, -178.5"
,1957,11,29,"-21.0, -66.0",-21,-66,7.8,BOLIVIA,,BOLIVIA:  S,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-21.0, -66.0"
,1957,12,04,"45.5, 99.5",45.5,99.5,8.1,MONGOLIA,,MONGOLIA,30,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,30,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,"45.5, 99.5"
